station_id,name,num_bicycles_available,last_reported
CAB:Station:eb204bb5-2ebf-3a74-bb4c-638051f58c69,Mineralbäder / Mineralbad Berg,8,2026-05-21 21:46:26+02
CAB:Station:31e28647-edea-36e0-b624-b4b6a8ba7f26,Eberhardstr. / Josef-Hirn-Platz,11,2026-05-21 21:46:26+02
CAB:Station:499bf0b3-8483-36fb-8d59-502291c637ff,Gablenberger Hauptstr. / Pfarrer-Pfeiffer-Weg,3,2026-05-21 21:46:26+02
CAB:Station:9691987c-976c-39c6-99f3-4f31ed3a1100,Rotebühlplatz / Rotebühlstr.,16,2026-05-21 21:46:26+02
CAB:Station:e66171ed-0436-31ec-917b-4da093ff8eea,Ostendplatz / Landhausstr.,4,2026-05-21 21:46:26+02
CAB:Station:5e0fefa1-1763-34e3-8a5a-07f2290ed58b,Neckarpark / Morlockstr.,7,2026-05-21 21:46:26+02
CAB:Station:eb098d8f-822c-3808-ab53-d02b0d5503f6,Bosch Health Campus / Haupteingang,0,2026-05-21 21:46:26+02
CAB:Station:279556ff-c452-34e8-b658-79eaf1b3c0fe,U Bhf. Pfostenwäldle / Eifelstraße /,0,2026-05-21 21:46:26+02
CAB:Station:19db247d-a6f7-3b7b-b2be-4a59e97e6642,Mobility Hub S Bhf. Zuffenhausen / Am Bahnhof,13,2026-05-21 21:46:26+02
CAB:Station:576085a2-d3c1-3500-b4af-541c3cf768e4,Bebelstr. / Bürgerzentrum West,6,2026-05-21 21:46:26+02
CAB:Station:72b30b51-265a-3ab5-b9dd-1be5da7ef21b,Leipziger Platz / Ludwigstr.,0,2026-05-21 21:46:26+02
CAB:Station:00477095-c539-345c-8fa2-6412a6515158,Mozartplätzle / Immenhofer Str.,0,2026-05-21 21:46:26+02
CAB:Station:b1778cc6-f3f0-3ac8-8c3c-9aa78f3187b0,Degerloch / Fernsehturm,0,2026-05-21 21:46:26+02
CAB:Station:464691e3-a4cc-34c1-a388-e733f49a5058,Rotenwaldstraße / Westbahnhof,0,2026-05-21 21:46:26+02
CAB:Station:b871bfba-d200-34be-8c1b-a7890a3144a0,Mensa-Vaihingen / Pfaffenwaldring,9,2026-05-21 21:46:26+02
CAB:Station:e971deec-810c-3a8d-a09f-69e9749fc579,Feuersee / Feuerseeplatz,3,2026-05-21 21:46:26+02
CAB:Station:04aaa8d6-add2-3f1d-b0d3-90c9229ddfe6,DHBW Fakultät Technik / Hoppenlaustraße,4,2026-05-21 21:46:26+02
CAB:Station:15ffef6a-1165-3bc3-a003-ef5cba23fedc,Sillenbuch / Schemppstr.,2,2026-05-21 21:46:26+02
CAB:Station:bb81a36e-09ef-3f0e-aeef-2ec98359c444,Charlottenplatz / Dorotheenstr.,23,2026-05-21 21:46:26+02
CAB:Station:4b9c9e04-dd1b-3c3f-b88d-30980ebb4029,Botnang / Kauffmannstr.,0,2026-05-21 21:10:22+02
CAB:Station:52a29ffa-01ca-31b7-962a-30b4375eeb6f,Bhf. Untertürkheim / Arlbergstr.,7,2026-05-21 21:10:22+02
CAB:Station:88d9a4c8-1033-32d8-9dd3-8dc86f4db3dd,Theodor-Heuss-Str. / Friedrichstr.,14,2026-05-21 21:10:22+02
CAB:Station:ad9d30ff-4964-3d94-99aa-cd93b5389bd7,Wagenburgstr. / Talstr.,5,2026-05-21 21:10:22+02
CAB:Station:b77efb4c-133b-3dbd-b888-cecee05e6bd0,Konrad-Adenauer-Str. / Haus der Geschichte,2,2026-05-21 21:10:22+02
CAB:Station:01621e21-11dd-3405-9b47-9732a8b5cb3f,Mercedes-Benz-Museum / Mercedesstr.,7,2026-05-21 21:10:22+02
CAB:Station:400d3a57-0f42-30a9-9943-a0c216419f43,Breitscheidstr. / Bosch-Areal / Liederhalle,15,2026-05-21 21:10:22+02
CAB:Station:1216b7d2-3c6f-3fe7-8e7e-5261d392ca95,Jugendherberge / Haußmannstr.,14,2026-05-21 21:10:22+02
CAB:Station:37b6b5c1-00a4-3b00-9ee8-44036299423f,Johannesstr. / Schloßstr.,5,2026-05-21 21:10:22+02
CAB:Station:4bfc02f5-ed36-3e45-95b5-43eb7c79a685,Institut für Luft- und Raumfahrttechnik / Pfaffenwaldring,0,2026-05-21 21:10:22+02
CAB:Station:a7acfe5f-0f74-3c29-a9f8-ab4235cce15f,Bhf. Plieninger Str. / Plieninger Str.,2,2026-05-21 21:10:22+02
CAB:Station:f8674bb7-1b4f-32fb-9b77-601106bb9ef0,U Bhf. Sillenbuch / Kirchheimer Straße,3,2026-05-21 21:10:22+02
CAB:Station:b353c9eb-033f-3d60-8461-ef9cb79f7aa7,Lautenschlagerstr. / Zeppelin Carré,14,2026-05-21 21:10:22+02
CAB:Station:cd41563c-0da8-3354-be59-a0331f000943,Erwin-Schoettle-Platz / Matthäuskirche,8,2026-05-21 21:10:22+02
CAB:Station:bbd80e21-3792-3e43-a164-e6bd6f8e4174,Wilhelm-Geiger-Platz / Grazer Str.,6,2026-05-21 21:10:22+02
CAB:Station:343a1191-8708-3ef6-bfbd-8ad2067e55c9,Engelboldtstraße / Ruggerstraße,2,2026-05-21 21:10:22+02
CAB:Station:8c0ddd13-5fd3-3d27-9544-6f4fac1370ef,Schwabstr. / Rotebühlstr.,6,2026-05-21 21:10:22+02
CAB:Station:1eb3a08e-cd3f-341c-a3f6-4f942352480b,Bhf. Nordbahnhof / Nordbahnhofstr.,2,2026-05-21 21:10:22+02
CAB:Station:29b12978-33df-3464-ba1c-9e0da2d99570,Leharstraße / Versorgungszentrum Laihle,2,2026-05-21 21:10:22+02
CAB:Station:8a6c3878-0dd7-377d-b675-82170b61c2ac,Eckartstr. / Nordbahnhofstr.,9,2026-05-21 21:10:22+02
CAB:Station:d3bdd097-551c-3ba3-b5be-3dbb64e282b2,Marienplatz / Zahnradbahn,25,2026-05-21 21:10:22+02
CAB:Station:52931d1f-c51b-3e24-8553-dd24fa5b7fa6,Wilhelma / Neckartalstraße,15,2026-05-21 21:10:22+02
CAB:Station:923b5ec3-7d47-3fd0-b399-383832a5cfcc,Königstraße / Wilhelmsbau,4,2026-05-21 21:10:22+02
CAB:Station:157f600b-d916-3e7a-b498-beded9bd0b1e,Universität / Keplerstr.,2,2026-05-21 21:10:22+02
CAB:Station:87675b40-48f1-352c-a908-c7b7384578c5,Königstr. / Kronenstr.,12,2026-05-21 21:10:22+02
CAB:Station:8b64e787-824f-3752-b24d-11338be2f84a,Wilhelmsplatz / Schlosserstr.,13,2026-05-21 21:10:22+02
CAB:Station:22d070a9-4ea9-3c5b-84d2-b7572380fd28,Theodor-Heuss-Str. / Büchsenstr.,5,2026-05-21 21:10:22+02
CAB:Station:74959d6b-628f-3b04-a3d5-1e683790de48,Rotebühlstraße / Reinsburgstraße / 0,1,2026-05-21 21:10:22+02
CAB:Station:90595cd8-6425-37bb-87d8-15cf62d31160,S Bhf. Stuttgart Universität / Audimax,1,2026-05-21 21:10:22+02
CAB:Station:5c495531-44e7-39a0-b995-7a3088b7370c,Olgastr. / Bopserstr.,0,2026-05-21 21:10:22+02
CAB:Station:d0dfa4f9-bb85-3d90-a6ac-7ab1de991cf1,Degerloch / Löffelstr.,0,2026-05-21 21:10:22+02
CAB:Station:c108f1b0-7a2a-31b9-b2cb-02b54f30e8ac,Bhf. Lindpaintner Straße / Beethovenstraße,5,2026-05-21 21:10:22+02
CAB:Station:0977cf40-483f-3e8e-a711-d545f5a1ce8b,Möhringen / Filderbahnplatz,2,2026-05-21 21:10:22+02
CAB:Station:f9ff5c19-148c-306c-99b4-1cc053f546c9,Weilimdorf Löwen-Markt / Pforzheimer Str.,2,2026-05-21 21:10:22+02
CAB:Station:5eb7a03d-6fd6-3ffa-9025-7a492d1c64a9,Pragsattel / Heilbronner Str.,6,2026-05-21 21:10:22+02
CAB:Station:27a0921e-b663-3cce-90bf-3ae94d715161,Traifelbergplatz / Reutlinger Str.,5,2026-05-21 21:10:22+02
CAB:Station:e9001825-0f0a-3094-b3f0-3bd1e4a4ce53,Neckartor / Neckarstr.,10,2026-05-21 21:10:22+02
CAB:Station:085d8a05-0a4c-37fc-8f62-b8d4d24009d6,ILEK / Pfaffenwaldring,2,2026-05-21 21:10:22+02
CAB:Station:6de8ab03-7bcc-3592-8e88-76e2ea4c83d6,Böheimstr. / Burgstallstr.,10,2026-05-21 21:10:22+02
CAB:Station:0494ec42-b04c-360b-8a2f-85d4a9d72247,Johann-Sebastian-Bach-Platz / Hasenbergstraße,0,2026-05-21 21:10:22+02
CAB:Station:185c8b62-b349-3841-9034-e40de6a8c08d,Bürgerhaus Alte Schule / Tiefenbachstraße,3,2026-05-21 21:10:22+02
CAB:Station:b4e319a5-8095-39b6-8a7c-ef032ca381bb,Südheimer Platz / Böblinger Str.,6,2026-05-21 21:10:22+02
CAB:Station:ba92167a-4f7d-3294-981e-b7f8ad5c7807,Helfferichstraße / Parlerstraße,1,2026-05-21 21:10:22+02
CAB:Station:fa8323d9-1073-3f5a-ab82-3a1ba7e8fd3c,Schwarzwaldstraße / Schiffkopfstraße,1,2026-05-21 21:10:22+02
CAB:Station:49f237bc-6bc9-3988-aafd-b2308bd8fe63,Stadtbibliothek / Milaneo,12,2026-05-21 21:10:22+02
CAB:Station:d238d078-0d97-3877-867b-650f20551a8e,Marktplatz Bad Cannstatt / 0,7,2026-05-21 21:10:22+02
CAB:Station:75550a62-d602-3871-85a2-ca8ccf6b43f7,S Bhf. Österfeld / Paradiesstraße,2,2026-05-21 21:10:22+02
CAB:Station:882d01c1-905c-3660-aec2-39fc5f170ab6,Herdweg / Relenbergstraße,5,2026-05-21 21:10:22+02
CAB:Station:0e1ece17-964b-34b0-8d0b-f8f7e76b7c87,Höhenfreibad Killesberg / Lenbachstraße / 0,7,2026-05-21 21:10:22+02
CAB:Station:351cb58c-f3d3-3de0-92f3-b02e183d8638,Tübinger Str. / Gerber,12,2026-05-21 21:10:22+02
CAB:Station:e5730d25-99d1-3637-9958-5632a81f86db,Bahnhof Bad Cannstatt / Kegelenstr.,11,2026-05-21 21:10:22+02
CAB:Station:143edee3-353e-3b42-ba51-7455f320d5ae,Stresemannstr. / Am Kochenhof,4,2026-05-21 21:10:22+02
CAB:Station:c09c53d4-2c99-3892-9fff-b0353eb71b19,Regerstr. / Schumannstr.,0,2026-05-21 21:10:22+02
CAB:Station:0bcadaa3-65f9-38ee-8d55-83d4d7915625,Wilhelmsplatz / König-Karl-Str.,6,2026-05-21 21:10:22+02
CAB:Station:0f0ba49b-14e8-3333-ad3c-abc1a772b7d2,U Bhf. Bubenbad / Gänsheidstraße,0,2026-05-21 21:10:22+02
CAB:Station:ecaf9523-03ca-305b-afc5-b2fdda72eeab,Paul-Gerhardt-Platz / Forststr.,8,2026-05-21 21:10:22+02
CAB:Station:95632281-43c6-35b3-8a6e-c3995ac12d77,Böblinger Str. / Engelboldstr.,1,2026-05-21 21:10:22+02
CAB:Station:d843fed2-1900-399a-a4d6-a880e64ebbcf,S Bhf. Feuerbach / Wiener Platz,7,2026-05-21 21:10:22+02
CAB:Station:dfa72705-230a-3154-85b4-9100e4b96da4,Rathaus / Marktstr.,11,2026-05-21 21:10:22+02
CAB:Station:291e7d94-6e2a-3ef2-8c8c-bcb0fff2f949,Kleiner Schloßplatz / Theodor-Heuss-Str.,8,2026-05-21 21:10:22+02
CAB:Station:df40597c-fe7a-340f-a887-23112c5bcb5b,Johannesstr. / Lerchenstr.,1,2026-05-21 21:10:22+02
CAB:Station:eb098d8f-822c-3808-ab53-d02b0d5503f6,Bosch Health Campus / Haupteingang,0,2026-05-21 21:10:22+02
CAB:Station:5e0fefa1-1763-34e3-8a5a-07f2290ed58b,Neckarpark / Morlockstr.,7,2026-05-21 21:10:22+02
CAB:Station:9691987c-976c-39c6-99f3-4f31ed3a1100,Rotebühlplatz / Rotebühlstr.,16,2026-05-21 21:10:22+02
CAB:Station:e66171ed-0436-31ec-917b-4da093ff8eea,Ostendplatz / Landhausstr.,4,2026-05-21 21:10:22+02
CAB:Station:00477095-c539-345c-8fa2-6412a6515158,Mozartplätzle / Immenhofer Str.,0,2026-05-21 21:10:22+02
CAB:Station:72b30b51-265a-3ab5-b9dd-1be5da7ef21b,Leipziger Platz / Ludwigstr.,0,2026-05-21 21:10:22+02
CAB:Station:19db247d-a6f7-3b7b-b2be-4a59e97e6642,Mobility Hub S Bhf. Zuffenhausen / Am Bahnhof,13,2026-05-21 21:10:22+02
CAB:Station:576085a2-d3c1-3500-b4af-541c3cf768e4,Bebelstr. / Bürgerzentrum West,7,2026-05-21 21:10:22+02
CAB:Station:279556ff-c452-34e8-b658-79eaf1b3c0fe,U Bhf. Pfostenwäldle / Eifelstraße /,0,2026-05-21 21:10:22+02
CAB:Station:3f7c3cac-68cb-38f4-8f9c-88b6288c56d0,Heumaden / Bildäckerstraße,3,2026-05-21 21:10:22+02
CAB:Station:6e2a2441-b3a6-3151-972c-b759db1bce68,Wangener Marktplatz / Warthäuser Str.,6,2026-05-21 21:10:22+02
CAB:Station:31e28647-edea-36e0-b624-b4b6a8ba7f26,Eberhardstr. / Josef-Hirn-Platz,11,2026-05-21 21:10:22+02
CAB:Station:499bf0b3-8483-36fb-8d59-502291c637ff,Gablenberger Hauptstr. / Pfarrer-Pfeiffer-Weg,3,2026-05-21 21:10:22+02
CAB:Station:eb204bb5-2ebf-3a74-bb4c-638051f58c69,Mineralbäder / Mineralbad Berg,8,2026-05-21 21:10:22+02
CAB:Station:0077d524-b4d0-356f-8ee8-9224cbb70d9c,Königstr. / Arnulf-Klett-Platz,20,2026-05-21 21:10:22+02
CAB:Station:15ffef6a-1165-3bc3-a003-ef5cba23fedc,Sillenbuch / Schemppstr.,2,2026-05-21 21:10:22+02
CAB:Station:04aaa8d6-add2-3f1d-b0d3-90c9229ddfe6,DHBW Fakultät Technik / Hoppenlaustraße,4,2026-05-21 21:10:22+02
CAB:Station:bb81a36e-09ef-3f0e-aeef-2ec98359c444,Charlottenplatz / Dorotheenstr.,23,2026-05-21 21:10:22+02
CAB:Station:b1778cc6-f3f0-3ac8-8c3c-9aa78f3187b0,Degerloch / Fernsehturm,0,2026-05-21 21:10:22+02
CAB:Station:b871bfba-d200-34be-8c1b-a7890a3144a0,Mensa-Vaihingen / Pfaffenwaldring,9,2026-05-21 21:10:22+02
CAB:Station:e971deec-810c-3a8d-a09f-69e9749fc579,Feuersee / Feuerseeplatz,3,2026-05-21 21:10:22+02
CAB:Station:464691e3-a4cc-34c1-a388-e733f49a5058,Rotenwaldstraße / Westbahnhof,0,2026-05-21 21:10:22+02
CAB:Station:291e7d94-6e2a-3ef2-8c8c-bcb0fff2f949,Kleiner Schloßplatz / Theodor-Heuss-Str.,8,2026-05-21 20:34:47+02
CAB:Station:dfa72705-230a-3154-85b4-9100e4b96da4,Rathaus / Marktstr.,11,2026-05-21 20:34:47+02
CAB:Station:df40597c-fe7a-340f-a887-23112c5bcb5b,Johannesstr. / Lerchenstr.,0,2026-05-21 20:34:47+02
CAB:Station:75550a62-d602-3871-85a2-ca8ccf6b43f7,S Bhf. Österfeld / Paradiesstraße,2,2026-05-21 20:34:47+02
CAB:Station:d238d078-0d97-3877-867b-650f20551a8e,Marktplatz Bad Cannstatt / 0,7,2026-05-21 20:34:47+02
CAB:Station:49f237bc-6bc9-3988-aafd-b2308bd8fe63,Stadtbibliothek / Milaneo,12,2026-05-21 20:34:47+02
CAB:Station:ba92167a-4f7d-3294-981e-b7f8ad5c7807,Helfferichstraße / Parlerstraße,1,2026-05-21 20:34:47+02
CAB:Station:fa8323d9-1073-3f5a-ab82-3a1ba7e8fd3c,Schwarzwaldstraße / Schiffkopfstraße,1,2026-05-21 20:34:47+02
CAB:Station:0bcadaa3-65f9-38ee-8d55-83d4d7915625,Wilhelmsplatz / König-Karl-Str.,6,2026-05-21 20:34:47+02
CAB:Station:c09c53d4-2c99-3892-9fff-b0353eb71b19,Regerstr. / Schumannstr.,0,2026-05-21 20:34:47+02
CAB:Station:143edee3-353e-3b42-ba51-7455f320d5ae,Stresemannstr. / Am Kochenhof,4,2026-05-21 20:34:47+02
CAB:Station:e5730d25-99d1-3637-9958-5632a81f86db,Bahnhof Bad Cannstatt / Kegelenstr.,10,2026-05-21 20:34:47+02
CAB:Station:351cb58c-f3d3-3de0-92f3-b02e183d8638,Tübinger Str. / Gerber,12,2026-05-21 20:34:47+02
CAB:Station:0e1ece17-964b-34b0-8d0b-f8f7e76b7c87,Höhenfreibad Killesberg / Lenbachstraße / 0,7,2026-05-21 20:34:47+02
CAB:Station:882d01c1-905c-3660-aec2-39fc5f170ab6,Herdweg / Relenbergstraße,5,2026-05-21 20:34:47+02
CAB:Station:ecaf9523-03ca-305b-afc5-b2fdda72eeab,Paul-Gerhardt-Platz / Forststr.,8,2026-05-21 20:34:47+02
CAB:Station:0f0ba49b-14e8-3333-ad3c-abc1a772b7d2,U Bhf. Bubenbad / Gänsheidstraße,0,2026-05-21 20:34:47+02
CAB:Station:d843fed2-1900-399a-a4d6-a880e64ebbcf,S Bhf. Feuerbach / Wiener Platz,7,2026-05-21 20:34:47+02
CAB:Station:95632281-43c6-35b3-8a6e-c3995ac12d77,Böblinger Str. / Engelboldstr.,1,2026-05-21 20:34:47+02
CAB:Station:04aaa8d6-add2-3f1d-b0d3-90c9229ddfe6,DHBW Fakultät Technik / Hoppenlaustraße,4,2026-05-21 20:34:47+02
CAB:Station:15ffef6a-1165-3bc3-a003-ef5cba23fedc,Sillenbuch / Schemppstr.,2,2026-05-21 20:34:47+02
CAB:Station:bb81a36e-09ef-3f0e-aeef-2ec98359c444,Charlottenplatz / Dorotheenstr.,23,2026-05-21 20:34:47+02
CAB:Station:b1778cc6-f3f0-3ac8-8c3c-9aa78f3187b0,Degerloch / Fernsehturm,0,2026-05-21 20:34:47+02
CAB:Station:464691e3-a4cc-34c1-a388-e733f49a5058,Rotenwaldstraße / Westbahnhof,0,2026-05-21 20:34:47+02
CAB:Station:e971deec-810c-3a8d-a09f-69e9749fc579,Feuersee / Feuerseeplatz,3,2026-05-21 20:34:47+02
CAB:Station:b871bfba-d200-34be-8c1b-a7890a3144a0,Mensa-Vaihingen / Pfaffenwaldring,9,2026-05-21 20:34:47+02
CAB:Station:9691987c-976c-39c6-99f3-4f31ed3a1100,Rotebühlplatz / Rotebühlstr.,16,2026-05-21 20:34:47+02
CAB:Station:e66171ed-0436-31ec-917b-4da093ff8eea,Ostendplatz / Landhausstr.,4,2026-05-21 20:34:47+02
CAB:Station:5e0fefa1-1763-34e3-8a5a-07f2290ed58b,Neckarpark / Morlockstr.,8,2026-05-21 20:34:47+02
CAB:Station:eb098d8f-822c-3808-ab53-d02b0d5503f6,Bosch Health Campus / Haupteingang,0,2026-05-21 20:34:47+02
CAB:Station:279556ff-c452-34e8-b658-79eaf1b3c0fe,U Bhf. Pfostenwäldle / Eifelstraße /,0,2026-05-21 20:34:47+02
CAB:Station:19db247d-a6f7-3b7b-b2be-4a59e97e6642,Mobility Hub S Bhf. Zuffenhausen / Am Bahnhof,13,2026-05-21 20:34:47+02
CAB:Station:576085a2-d3c1-3500-b4af-541c3cf768e4,Bebelstr. / Bürgerzentrum West,6,2026-05-21 20:34:47+02
CAB:Station:72b30b51-265a-3ab5-b9dd-1be5da7ef21b,Leipziger Platz / Ludwigstr.,0,2026-05-21 20:34:47+02
CAB:Station:00477095-c539-345c-8fa2-6412a6515158,Mozartplätzle / Immenhofer Str.,0,2026-05-21 20:34:47+02
CAB:Station:3f7c3cac-68cb-38f4-8f9c-88b6288c56d0,Heumaden / Bildäckerstraße,3,2026-05-21 20:34:47+02
CAB:Station:6e2a2441-b3a6-3151-972c-b759db1bce68,Wangener Marktplatz / Warthäuser Str.,6,2026-05-21 20:34:47+02
CAB:Station:0077d524-b4d0-356f-8ee8-9224cbb70d9c,Königstr. / Arnulf-Klett-Platz,19,2026-05-21 20:34:47+02
CAB:Station:eb204bb5-2ebf-3a74-bb4c-638051f58c69,Mineralbäder / Mineralbad Berg,8,2026-05-21 20:34:47+02
CAB:Station:31e28647-edea-36e0-b624-b4b6a8ba7f26,Eberhardstr. / Josef-Hirn-Platz,11,2026-05-21 20:34:47+02
CAB:Station:499bf0b3-8483-36fb-8d59-502291c637ff,Gablenberger Hauptstr. / Pfarrer-Pfeiffer-Weg,3,2026-05-21 20:34:47+02
CAB:Station:343a1191-8708-3ef6-bfbd-8ad2067e55c9,Engelboldtstraße / Ruggerstraße,2,2026-05-21 20:34:47+02
CAB:Station:bbd80e21-3792-3e43-a164-e6bd6f8e4174,Wilhelm-Geiger-Platz / Grazer Str.,6,2026-05-21 20:34:47+02
CAB:Station:29b12978-33df-3464-ba1c-9e0da2d99570,Leharstraße / Versorgungszentrum Laihle,2,2026-05-21 20:34:47+02
CAB:Station:cd41563c-0da8-3354-be59-a0331f000943,Erwin-Schoettle-Platz / Matthäuskirche,7,2026-05-21 20:34:47+02
CAB:Station:b353c9eb-033f-3d60-8461-ef9cb79f7aa7,Lautenschlagerstr. / Zeppelin Carré,13,2026-05-21 20:34:47+02
CAB:Station:1eb3a08e-cd3f-341c-a3f6-4f942352480b,Bhf. Nordbahnhof / Nordbahnhofstr.,2,2026-05-21 20:34:47+02
CAB:Station:8c0ddd13-5fd3-3d27-9544-6f4fac1370ef,Schwabstr. / Rotebühlstr.,7,2026-05-21 20:34:47+02
CAB:Station:52931d1f-c51b-3e24-8553-dd24fa5b7fa6,Wilhelma / Neckartalstraße,15,2026-05-21 20:34:47+02
CAB:Station:8a6c3878-0dd7-377d-b675-82170b61c2ac,Eckartstr. / Nordbahnhofstr.,9,2026-05-21 20:34:47+02
CAB:Station:d3bdd097-551c-3ba3-b5be-3dbb64e282b2,Marienplatz / Zahnradbahn,25,2026-05-21 20:34:47+02
CAB:Station:87675b40-48f1-352c-a908-c7b7384578c5,Königstr. / Kronenstr.,12,2026-05-21 20:34:47+02
CAB:Station:157f600b-d916-3e7a-b498-beded9bd0b1e,Universität / Keplerstr.,2,2026-05-21 20:34:47+02
CAB:Station:923b5ec3-7d47-3fd0-b399-383832a5cfcc,Königstraße / Wilhelmsbau,3,2026-05-21 20:34:47+02
CAB:Station:b77efb4c-133b-3dbd-b888-cecee05e6bd0,Konrad-Adenauer-Str. / Haus der Geschichte,2,2026-05-21 20:34:47+02
CAB:Station:88d9a4c8-1033-32d8-9dd3-8dc86f4db3dd,Theodor-Heuss-Str. / Friedrichstr.,14,2026-05-21 20:34:47+02
CAB:Station:ad9d30ff-4964-3d94-99aa-cd93b5389bd7,Wagenburgstr. / Talstr.,5,2026-05-21 20:34:47+02
CAB:Station:52a29ffa-01ca-31b7-962a-30b4375eeb6f,Bhf. Untertürkheim / Arlbergstr.,8,2026-05-21 20:34:47+02
CAB:Station:4b9c9e04-dd1b-3c3f-b88d-30980ebb4029,Botnang / Kauffmannstr.,0,2026-05-21 20:34:47+02
CAB:Station:400d3a57-0f42-30a9-9943-a0c216419f43,Breitscheidstr. / Bosch-Areal / Liederhalle,16,2026-05-21 20:34:47+02
CAB:Station:01621e21-11dd-3405-9b47-9732a8b5cb3f,Mercedes-Benz-Museum / Mercedesstr.,7,2026-05-21 20:34:47+02
CAB:Station:4bfc02f5-ed36-3e45-95b5-43eb7c79a685,Institut für Luft- und Raumfahrttechnik / Pfaffenwaldring,0,2026-05-21 20:34:47+02
CAB:Station:37b6b5c1-00a4-3b00-9ee8-44036299423f,Johannesstr. / Schloßstr.,7,2026-05-21 20:34:47+02
CAB:Station:1216b7d2-3c6f-3fe7-8e7e-5261d392ca95,Jugendherberge / Haußmannstr.,14,2026-05-21 20:34:47+02
CAB:Station:f8674bb7-1b4f-32fb-9b77-601106bb9ef0,U Bhf. Sillenbuch / Kirchheimer Straße,3,2026-05-21 20:34:47+02
CAB:Station:a7acfe5f-0f74-3c29-a9f8-ab4235cce15f,Bhf. Plieninger Str. / Plieninger Str.,2,2026-05-21 20:34:47+02
CAB:Station:27a0921e-b663-3cce-90bf-3ae94d715161,Traifelbergplatz / Reutlinger Str.,5,2026-05-21 20:34:47+02
CAB:Station:5eb7a03d-6fd6-3ffa-9025-7a492d1c64a9,Pragsattel / Heilbronner Str.,6,2026-05-21 20:34:47+02
CAB:Station:085d8a05-0a4c-37fc-8f62-b8d4d24009d6,ILEK / Pfaffenwaldring,2,2026-05-21 20:34:47+02
CAB:Station:6de8ab03-7bcc-3592-8e88-76e2ea4c83d6,Böheimstr. / Burgstallstr.,10,2026-05-21 20:34:47+02
CAB:Station:e9001825-0f0a-3094-b3f0-3bd1e4a4ce53,Neckartor / Neckarstr.,10,2026-05-21 20:34:47+02
CAB:Station:0494ec42-b04c-360b-8a2f-85d4a9d72247,Johann-Sebastian-Bach-Platz / Hasenbergstraße,0,2026-05-21 20:34:47+02
CAB:Station:b4e319a5-8095-39b6-8a7c-ef032ca381bb,Südheimer Platz / Böblinger Str.,6,2026-05-21 20:34:47+02
CAB:Station:185c8b62-b349-3841-9034-e40de6a8c08d,Bürgerhaus Alte Schule / Tiefenbachstraße,3,2026-05-21 20:34:47+02
CAB:Station:8b64e787-824f-3752-b24d-11338be2f84a,Wilhelmsplatz / Schlosserstr.,13,2026-05-21 20:34:47+02
CAB:Station:5c495531-44e7-39a0-b995-7a3088b7370c,Olgastr. / Bopserstr.,0,2026-05-21 20:34:47+02
CAB:Station:90595cd8-6425-37bb-87d8-15cf62d31160,S Bhf. Stuttgart Universität / Audimax,1,2026-05-21 20:34:47+02
CAB:Station:74959d6b-628f-3b04-a3d5-1e683790de48,Rotebühlstraße / Reinsburgstraße / 0,1,2026-05-21 20:34:47+02
CAB:Station:22d070a9-4ea9-3c5b-84d2-b7572380fd28,Theodor-Heuss-Str. / Büchsenstr.,6,2026-05-21 20:34:47+02
CAB:Station:c108f1b0-7a2a-31b9-b2cb-02b54f30e8ac,Bhf. Lindpaintner Straße / Beethovenstraße,5,2026-05-21 20:34:47+02
CAB:Station:d0dfa4f9-bb85-3d90-a6ac-7ab1de991cf1,Degerloch / Löffelstr.,0,2026-05-21 20:34:47+02
CAB:Station:f9ff5c19-148c-306c-99b4-1cc053f546c9,Weilimdorf Löwen-Markt / Pforzheimer Str.,2,2026-05-21 20:34:47+02
CAB:Station:0977cf40-483f-3e8e-a711-d545f5a1ce8b,Möhringen / Filderbahnplatz,2,2026-05-21 20:34:47+02
CAB:Station:279556ff-c452-34e8-b658-79eaf1b3c0fe,U Bhf. Pfostenwäldle / Eifelstraße /,0,2026-05-21 19:57:25+02
CAB:Station:72b30b51-265a-3ab5-b9dd-1be5da7ef21b,Leipziger Platz / Ludwigstr.,0,2026-05-21 19:57:25+02
CAB:Station:19db247d-a6f7-3b7b-b2be-4a59e97e6642,Mobility Hub S Bhf. Zuffenhausen / Am Bahnhof,12,2026-05-21 19:57:25+02
CAB:Station:576085a2-d3c1-3500-b4af-541c3cf768e4,Bebelstr. / Bürgerzentrum West,6,2026-05-21 19:57:25+02
CAB:Station:00477095-c539-345c-8fa2-6412a6515158,Mozartplätzle / Immenhofer Str.,0,2026-05-21 19:57:25+02
CAB:Station:9691987c-976c-39c6-99f3-4f31ed3a1100,Rotebühlplatz / Rotebühlstr.,14,2026-05-21 19:57:25+02
CAB:Station:e66171ed-0436-31ec-917b-4da093ff8eea,Ostendplatz / Landhausstr.,4,2026-05-21 19:57:25+02
CAB:Station:5e0fefa1-1763-34e3-8a5a-07f2290ed58b,Neckarpark / Morlockstr.,8,2026-05-21 19:57:25+02
CAB:Station:eb098d8f-822c-3808-ab53-d02b0d5503f6,Bosch Health Campus / Haupteingang,0,2026-05-21 19:57:25+02
CAB:Station:0077d524-b4d0-356f-8ee8-9224cbb70d9c,Königstr. / Arnulf-Klett-Platz,19,2026-05-21 19:57:25+02
